ID  MINE    VEL   DIFF   DUR    GROUP_ID
553  Fixation   4.9   1.7  2234.0  21
554  Fixation   7.6   2.7  2234.0  21
555  Fixation   3.2   -4.3  2234.0  21
556  Fixation   16.5   13.2  2234.0  21
557  Fixation   23.9   7.4  2234.0  21
558  Fixation   2.4   -21.6  2234.0  21
559  Fixation   2.3   -0.1  2234.0  21
560  Fixation   7.1   4.9  2234.0  21
561  Fixation   11.8   4.6  2234.0  21
562  Fixation   0.2   -11.6  2234.0  21
563  Fixation   12.4   12.2  2234.0  21
564  Fixation   0.8   -11.6  2234.0  21
565  Fixation   2.8   2.0  2234.0  21
566  Fixation   8.7   5.8  2234.0  21
567  Fixation   1.1   -7.6  2234.0  21
568  Fixation   0.1   -1.0  2234.0  21
569  Fixation   4.1   4.1  2234.0  21
570  Fixation   11.4   7.3  2234.0  21
571  Fixation   5.1   -6.3  2234.0  21
572  Fixation   0.6   -4.5  2234.0  21
573  Fixation   12.3   11.6  2234.0  21
574  Fixation   4.3   -8.0  2234.0  21
575  Fixation   1.5   -2.8  2234.0  21
576  Fixation   1.6   0.1  2234.0  21
577  Fixation   1.0   -0.6  2234.0  21
578  Fixation   2.5   1.5  2234.0  21
579  Fixation   0.0   -2.5  2234.0  21
580  Fixation   4.0   4.0  2234.0  21
581  Fixation   2.0   -2.0  2234.0  21
582  Fixation   0.7   -1.3  2234.0  21
583  Fixation   4.8   4.1  2234.0  21
584  Fixation   0.7   -4.1  2234.0  21
585  Fixation   1.4   0.7  2234.0  21
586  Fixation   1.3   -0.1  2234.0  21
587  Fixation   2.9   1.6  2234.0  21
588  Fixation   0.7   -2.2  2234.0  21
589  Fixation   6.9   6.2  2234.0  21
590  Fixation   11.5   4.6  2234.0  21
591  Fixation   4.3   -7.2  2234.0  21
592  Fixation   0.2   -4.1  2234.0  21
593  Fixation   0.2   0.0  2234.0  21
594  Fixation   4.4   4.2  2234.0  21
595  Fixation   0.3   -4.1  2234.0  21
596  Fixation   10.2   9.8  2234.0  21
597  Fixation   0.0   -10.2  2234.0  21
598  Fixation   3.3   3.3  2234.0  21
599  Fixation   7.9   4.6  2234.0  21
600  Fixation   0.0   -7.9  2234.0  21
601  Fixation   4.4   4.4  2234.0  21
602  Fixation   2.6   -1.7  2234.0  21
603  Fixation   1.0   -1.7  2234.0  21
604  Fixation   0.0   -1.0  2234.0  21
605  Fixation   3.0   3.0  2234.0  21
606  Fixation   6.6   3.6  2234.0  21
607  Fixation   2.1   -4.5  2234.0  21
608  Fixation   8.1   6.1  2234.0  21
609  Fixation   3.6   -4.5  2234.0  21
610  Fixation   3.1   -0.5  2234.0  21
611  Fixation   5.4   2.3  2234.0  21
612  Fixation   7.5   2.1  2234.0  21
613  Fixation   7.0   -0.5  2234.0  21
614  Fixation   19.6   12.6  2234.0  21
615  Fixation   0.0   -19.6  2234.0  21
616  Fixation   1.9   1.9  2234.0  21
617  Fixation   4.8   2.9  2234.0  21
618  Fixation   0.1   -4.7  2234.0  21
619  Fixation   7.9   7.8  2234.0  21
620  Fixation   3.0   -4.9  2234.0  21
621  Fixation   2.2   -0.8  2234.0  21
622  Fixation   5.0   2.8  2234.0  21
623  Fixation   14.9   9.9  2234.0  21
624  Fixation   0.2   -14.7  2234.0  21
625  Fixation   10.0   9.8  2234.0  21
626  Fixation   1.5   -8.5  2234.0  21
627  Fixation   12.7   11.3  2234.0  21
628  Fixation   4.7   -8.0  2234.0  21
629  Fixation   0.5   -4.2  2234.0  21
630  Fixation   0.5   -0.0  2234.0  21
631  Fixation   3.3   2.8  2234.0  21
632  Fixation   3.9   0.7  2234.0  21
633  Fixation   4.2   0.3  2234.0  21
634  Fixation   0.0   -4.2  2234.0  21
635  Fixation   6.7   6.7  2234.0  21
