ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
357  Fixation  Fixation  13.6   3.1  450.0  11
358  Fixation  Fixation  8.9   -4.7  450.0  11
359  Fixation  Fixation  11.3   2.4  450.0  11
360  Fixation  Fixation  5.3   -6.0  450.0  11
361  Fixation  Fixation  2.6   -2.7  450.0  11
362  Fixation  Fixation  8.0   5.4  450.0  11
363  Fixation  Fixation  14.4   6.4  450.0  11
364  Fixation  Fixation  0.5   -13.9  450.0  11
365  Fixation  Fixation  10.2   9.7  450.0  11
366  Fixation  Fixation  18.9   8.7  450.0  11
367  Saccade  Saccade  43.0   24.1  50.0  12
368  Saccade  Saccade  185.4   142.4  50.0  12
369  Saccade  Saccade  73.2   -112.2  50.0  12
370  Fixation  Fixation  21.3   -51.9  367.0  12
371  Fixation  Fixation  21.7   0.4  367.0  12
372  Fixation  Fixation  9.9   -11.8  367.0  12
373  Fixation  Fixation  8.8   -1.1  367.0  12
374  Fixation  Fixation  4.2   -4.6  367.0  12
375  Fixation  Fixation  7.0   2.8  367.0  12
376  Fixation  Fixation  2.5   -4.5  367.0  12
377  Fixation  Fixation  3.8   1.3  367.0  12
378  Fixation  Fixation  9.5   5.7  367.0  12
379  Fixation  Fixation  5.8   -3.7  367.0  12
380  Fixation  Fixation  4.7   -1.0  367.0  12
381  Fixation  Fixation  15.4   10.7  367.0  12
382  Fixation  Fixation  3.5   -11.9  367.0  12
383  Fixation  Fixation  3.9   0.5  367.0  12
384  Fixation  Fixation  11.6   7.7  367.0  12
385  Fixation  Fixation  17.5   5.9  367.0  12
386  Fixation  Fixation  12.6   -4.9  367.0  12
387  Fixation  Fixation  6.6   -6.0  367.0  12
388  Fixation  Fixation  1.9   -4.7  367.0  12
389  Fixation  Fixation  6.1   4.2  367.0  12
390  Fixation  Fixation  5.7   -0.4  367.0  12
391  Fixation  Fixation  2.7   -3.0  367.0  12
392  Saccade  Saccade  44.3   41.6  17.0  13
393  Fixation  Fixation  9.9   -34.5  433.0  13
394  Fixation  Fixation  9.5   -0.4  433.0  13
395  Fixation  Fixation  6.5   -2.9  433.0  13
396  Fixation  Fixation  8.1   1.6  433.0  13
397  Fixation  Fixation  7.5   -0.6  433.0  13
398  Fixation  Fixation  3.6   -3.8  433.0  13
399  Fixation  Fixation  2.4   -1.2  433.0  13
400  Fixation  Fixation  11.8   9.4  433.0  13
401  Fixation  Fixation  3.1   -8.8  433.0  13
402  Fixation  Fixation  4.6   1.5  433.0  13
403  Fixation  Fixation  4.8   0.3  433.0  13
404  Fixation  Fixation  0.6   -4.3  433.0  13
405  Fixation  Fixation  7.3   6.7  433.0  13
406  Fixation  Fixation  4.1   -3.2  433.0  13
407  Fixation  Fixation  12.2   8.1  433.0  13
408  Fixation  Fixation  22.7   10.5  433.0  13
409  Fixation  Fixation  10.1   -12.7  433.0  13
410  Fixation  Fixation  2.4   -7.7  433.0  13
411  Fixation  Fixation  15.5   13.1  433.0  13
412  Fixation  Fixation  15.4   -0.1  433.0  13
413  Fixation  Fixation  20.4   5.0  433.0  13
414  Fixation  Fixation  4.4   -16.0  433.0  13
415  Fixation  Fixation  14.2   9.8  433.0  13
416  Fixation  Fixation  8.3   -5.9  433.0  13
417  Fixation  Fixation  10.8   2.4  433.0  13
418  Fixation  Fixation  11.7   1.0  433.0  13
419  Saccade  Saccade  152.3   140.5  67.0  14
420  Saccade  Saccade  181.7   29.5  67.0  14
421  Saccade  Saccade  161.8   -19.9  67.0  14
422  Saccade  Saccade  44.5   -117.3  67.0  14
