ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
305  Fixation  Fixation  0.6   -6.3  534.0  6
306  Fixation  Fixation  5.1   4.5  534.0  6
307  Fixation  Fixation  11.4   6.3  534.0  6
308  Fixation  Fixation  4.1   -7.2  534.0  6
309  Fixation  Fixation  6.2   2.1  534.0  6
310  Fixation  Fixation  4.0   -2.2  534.0  6
311  Fixation  Fixation  1.6   -2.4  534.0  6
312  Fixation  Fixation  10.8   9.3  534.0  6
313  Fixation  Fixation  4.8   -6.0  534.0  6
314  Fixation  Fixation  4.4   -0.4  534.0  6
315  Saccade  Saccade  79.9   75.5  33.0  6
316  Saccade  Saccade  61.1   -18.8  33.0  6
317  Fixation  Fixation  3.0   -58.0  400.0  7
318  Fixation  Fixation  5.7   2.7  400.0  7
319  Fixation  Fixation  7.7   2.0  400.0  7
320  Fixation  Fixation  0.0   -7.7  400.0  7
321  Fixation  Fixation  6.0   6.0  400.0  7
322  Fixation  Fixation  3.0   -3.0  400.0  7
323  Fixation  Fixation  3.0   0.0  400.0  7
324  Fixation  Fixation  7.4   4.4  400.0  7
325  Fixation  Fixation  4.7   -2.6  400.0  7
326  Fixation  Fixation  2.7   -2.0  400.0  7
327  Fixation  Fixation  6.9   4.2  400.0  7
328  Fixation  Fixation  12.6   5.7  400.0  7
329  Fixation  Fixation  3.1   -9.5  400.0  7
330  Fixation  Fixation  0.5   -2.5  400.0  7
331  Fixation  Fixation  2.9   2.3  400.0  7
332  Fixation  Fixation  5.3   2.5  400.0  7
333  Fixation  Fixation  1.5   -3.8  400.0  7
334  Fixation  Fixation  7.7   6.2  400.0  7
335  Fixation  Fixation  6.6   -1.1  400.0  7
336  Fixation  Fixation  0.7   -6.0  400.0  7
337  Fixation  Fixation  13.6   12.9  400.0  7
338  Fixation  Fixation  2.7   -10.8  400.0  7
339  Fixation  Fixation  9.4   6.7  400.0  7
340  Fixation  Fixation  19.4   10.0  400.0  7
341  Saccade  Saccade  70.9   51.4  17.0  7
342  Fixation  Fixation  6.5   -64.4  450.0  8
343  Fixation  Fixation  0.0   -6.5  450.0  8
344  Fixation  Fixation  5.6   5.6  450.0  8
345  Fixation  Fixation  2.9   -2.7  450.0  8
346  Fixation  Fixation  1.1   -1.8  450.0  8
347  Fixation  Fixation  5.3   4.1  450.0  8
348  Fixation  Fixation  0.0   -5.3  450.0  8
349  Fixation  Fixation  3.5   3.5  450.0  8
350  Fixation  Fixation  0.0   -3.5  450.0  8
351  Fixation  Fixation  0.0   -0.0  450.0  8
352  Fixation  Fixation  3.2   3.2  450.0  8
353  Fixation  Fixation  2.0   -1.2  450.0  8
354  Fixation  Fixation  5.2   3.2  450.0  8
355  Fixation  Fixation  22.6   17.4  450.0  8
356  Fixation  Fixation  2.1   -20.6  450.0  8
357  Fixation  Fixation  16.4   14.4  450.0  8
358  Fixation  Fixation  7.2   -9.3  450.0  8
359  Fixation  Fixation  0.9   -6.3  450.0  8
360  Fixation  Fixation  0.8   -0.1  450.0  8
361  Fixation  Fixation  2.7   1.9  450.0  8
362  Fixation  Fixation  7.1   4.4  450.0  8
363  Fixation  Fixation  2.9   -4.2  450.0  8
364  Fixation  Fixation  8.1   5.2  450.0  8
365  Fixation  Fixation  7.4   -0.7  450.0  8
366  Fixation  Fixation  1.1   -6.3  450.0  8
