ID  MINE      GT       VEL   DUR    GROUP_ID
432  Fixation  Fixation  0.4  967.0  11
433  Fixation  Fixation  3.3  967.0  11
434  Fixation  Fixation  0.0  967.0  11
435  Fixation  Fixation  0.3  967.0  11
436  Fixation  Fixation  4.2  967.0  11
437  Fixation  Fixation  6.8  967.0  11
438  Fixation  Fixation  0.0  967.0  11
439  Fixation  Fixation  8.4  967.0  11
440  Fixation  Fixation  3.0  967.0  11
441  Fixation  Fixation  0.9  967.0  11
442  Fixation  Fixation  5.9  967.0  11
443  Fixation  Fixation  1.4  967.0  11
444  Fixation  Fixation  14.2  967.0  11
445  Fixation  Fixation  18.7  967.0  11
446  Fixation  Fixation  1.4  967.0  11
447  Fixation  Fixation  3.2  967.0  11
448  Fixation  Fixation  2.9  967.0  11
449  Fixation  Fixation  2.8  967.0  11
450  Fixation  Fixation  7.5  967.0  11
451  Fixation  Fixation  8.0  967.0  11
452  Fixation  Fixation  0.0  967.0  11
453  Fixation  Fixation  2.5  967.0  11
454  Fixation  Fixation  0.0  967.0  11
455  Saccade  Saccade  38.9  66.0  12
456  Saccade  Saccade  207.6  66.0  12
457  Saccade  Saccade  160.9  66.0  12
458  Saccade  Saccade  68.3  66.0  12
459  Fixation  Fixation  4.6  300.0  12
460  Fixation  Fixation  3.2  300.0  12
461  Fixation  Fixation  4.0  300.0  12
462  Fixation  Fixation  5.1  300.0  12
463  Fixation  Fixation  5.5  300.0  12
464  Fixation  Fixation  11.7  300.0  12
465  Fixation  Fixation  12.4  300.0  12
466  Fixation  Fixation  5.9  300.0  12
467  Fixation  Fixation  0.4  300.0  12
468  Fixation  Fixation  0.7  300.0  12
469  Fixation  Fixation  12.5  300.0  12
470  Fixation  Fixation  0.0  300.0  12
471  Fixation  Fixation  13.1  300.0  12
472  Fixation  Fixation  2.6  300.0  12
473  Fixation  Fixation  0.2  300.0  12
474  Fixation  Fixation  2.3  300.0  12
475  Fixation  Fixation  0.0  300.0  12
476  Fixation  Fixation  5.1  300.0  12
477  Saccade  Saccade  35.6  17.0  13
478  Fixation  Fixation  6.4  350.0  13
479  Fixation  Fixation  18.7  350.0  13
480  Fixation  Fixation  5.8  350.0  13
481  Fixation  Fixation  1.0  350.0  13
482  Fixation  Fixation  8.5  350.0  13
483  Fixation  Fixation  0.9  350.0  13
484  Fixation  Fixation  0.7  350.0  13
485  Fixation  Fixation  6.1  350.0  13
486  Fixation  Fixation  6.1  350.0  13
487  Fixation  Fixation  5.9  350.0  13
488  Fixation  Fixation  4.1  350.0  13
489  Fixation  Fixation  6.3  350.0  13
490  Fixation  Fixation  11.0  350.0  13
491  Fixation  Fixation  11.7  350.0  13
492  Fixation  Fixation  11.0  350.0  13
493  Fixation  Fixation  1.5  350.0  13
494  Fixation  Fixation  3.0  350.0  13
495  Fixation  Fixation  2.2  350.0  13
496  Fixation  Fixation  7.1  350.0  13
497  Fixation  Fixation  3.8  350.0  13
498  Fixation  Fixation  8.5  350.0  13
499  Saccade  Saccade  34.9  17.0  14
500  Fixation  Fixation  22.1  183.0  14
501  Fixation  Fixation  2.7  183.0  14
502  Fixation  Fixation  0.8  183.0  14
503  Fixation  Fixation  18.4  183.0  14
504  Fixation  Fixation  0.0  183.0  14
505  Fixation  Fixation  1.3  183.0  14
506  Fixation  Fixation  7.3  183.0  14
507  Fixation  Fixation  0.0  183.0  14
508  Fixation  Fixation  6.5  183.0  14
509  Fixation  Fixation  3.1  183.0  14
510  Fixation  Fixation  0.2  183.0  14
