device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
5469011608,628377156624,"(0.5518903136253357, 0.5281065106391907)","(28.799114227294922, 146.55348205566406, 42.6993293762207)",1,3.54351806640625,1,"(-6.642602920532227, 55.8948974609375, 655.290771484375)",1,"(0.5702258944511414, 0.5593037009239197)","(38.97536849975586, 137.40145874023438, 39.36827087402344)",1,3.421630859375,1,"(54.18757247924805, 55.36981964111328, 656.0823364257812)",1,1742470167567,11.46875,11.359786987304688
5469028275,628377173287,"(0.5549328327178955, 0.5276302695274353)","(30.487720489501953, 146.69317626953125, 42.75019073486328)",1,3.5456390380859375,1,"(-6.823099136352539, 55.94101333618164, 655.357666015625)",1,"(0.5676872730255127, 0.556306779384613)","(37.56639099121094, 138.28060913085938, 39.68828201293945)",1,3.3931732177734375,1,"(54.055580139160156, 55.448699951171875, 656.1412353515625)",1,1742470167583,11.87939453125,11.136123657226562
5469044942,628377189953,"(0.5541823506355286, 0.5384054183959961)","(30.071178436279297, 143.53216552734375, 41.59967041015625)",1,3.5664825439453125,1,"(-6.9826507568359375, 55.99522399902344, 655.3063354492188)",1,"(0.5662294030189514, 0.5627015233039856)","(36.75728225708008, 136.4046630859375, 39.00547409057617)",1,3.406158447265625,1,"(53.919639587402344, 55.531105041503906, 656.1032104492188)",1,1742470167599,11.745513916015625,11.364486694335938
5469061608,628377206619,"(0.5521756410598755, 0.5426005125045776)","(28.95747947692871, 142.301513671875, 41.151737213134766)",1,3.56390380859375,1,"(-7.118802547454834, 55.995147705078125, 655.2911987304688)",1,"(0.5731158256530762, 0.5465558767318726)","(40.57926940917969, 141.14117431640625, 40.72940444946289)",1,3.3975372314453125,1,"(53.741943359375, 55.576744079589844, 656.0718994140625)",1,1742470167614,11.574462890625,11.2760009765625
5469078274,628377223284,"(0.5524274706840515, 0.5256102085113525)","(29.09722137451172, 147.28579711914062, 42.96588897705078)",1,3.5670013427734375,1,"(-7.286552429199219, 55.9556884765625, 655.3340454101562)",1,"(0.5699549913406372, 0.5477973222732544)","(38.825016021728516, 140.77696228027344, 40.59687042236328)",1,3.415435791015625,1,"(53.58518981933594, 55.59516906738281, 656.0869750976562)",1,1742470167633,11.844223022460938,11.182159423828125
5469094942,628377239952,"(0.5590121150016785, 0.5219742059707642)","(32.75168228149414, 148.35243225097656, 43.35409164428711)",1,3.5799560546875,1,"(-7.474045753479004, 55.90702819824219, 655.4242553710938)",1,"(0.5658199191093445, 0.558990478515625)","(36.530033111572266, 137.49334716796875, 39.40171813964844)",1,3.426300048828125,1,"(53.430416107177734, 55.56593322753906, 655.859375)",1,1742470167649,11.763031005859375,11.153106689453125
5469111609,628377256619,"(0.557796061038971, 0.5347024202346802)","(32.07680130004883, 144.6184844970703, 41.995079040527344)",1,3.5807342529296875,1,"(-7.651144027709961, 55.85755157470703, 655.3367919921875)",1,"(0.5667980909347534, 0.5630114674568176)","(37.07292938232422, 136.313720703125, 38.97239685058594)",1,3.46142578125,1,"(53.26628875732422, 55.54401397705078, 656.0211181640625)",1,1742470167664,11.964431762695312,11.242355346679688
5469128276,628377273286,"(0.553490161895752, 0.5340958833694458)","(29.687009811401367, 144.7964324951172, 42.059837341308594)",1,3.6255035400390625,1,"(-7.797344207763672, 55.729164123535156, 655.3921508789062)",1,"(0.5725785493850708, 0.5608200430870056)","(40.28105545043945, 136.95663452148438, 39.20637130737305)",1,3.4445648193359375,1,"(53.07371520996094, 55.462642669677734, 655.9198608398438)",1,1742470167682,12.042892456054688,11.339599609375
5469144942,628377289951,"(0.548973023891449, 0.5424765944480896)","(27.179994583129883, 142.33782958984375, 41.164981842041016)",1,3.625335693359375,1,"(-7.953275680541992, 55.65281295776367, 655.4476318359375)",1,"(0.572655439376831, 0.5512161254882812)","(40.323753356933594, 139.77403259277344, 40.23180389404297)",1,3.4268035888671875,1,"(52.90726089477539, 55.410648345947266, 656.0067749023438)",1,1742470167699,11.721511840820312,11.203262329101562
5469161609,628377306617,"(0.5545293092727661, 0.5302290916442871)","(30.26375389099121, 145.93080139160156, 42.472686767578125)",1,3.6256866455078125,1,"(-8.133631706237793, 55.53564453125, 655.54931640625)",1,"(0.5656802654266357, 0.5615854263305664)","(36.452537536621094, 136.73208618164062, 39.124656677246094)",1,3.4783172607421875,1,"(52.76456832885742, 55.34394836425781, 655.837890625)",1,1742470167714,11.934112548828125,11.364486694335938
5469178276,628377323284,"(0.531273365020752, 0.580307126045227)","(17.356670379638672, 131.23989868164062, 37.12563705444336)",1,3.61773681640625,1,"(-8.369157791137695, 55.391075134277344, 655.59033203125)",1,"(0.5558221936225891, 0.5888593196868896)","(30.981298446655273, 128.7310333251953, 36.212467193603516)",1,3.4197845458984375,1,"(52.480987548828125, 55.222171783447266, 655.91064453125)",1,1742470167732,12.034286499023438,11.084152221679688
5469194943,628377339950,"(0.5047851800918579, 0.6700707077980042)","(2.6557748317718506, 104.90682220458984, 27.541183471679688)",1,3.6158599853515625,1,"(-8.582818984985352, 55.231834411621094, 655.7022094726562)",1,"(0.5305429697036743, 0.6606606841087341)","(16.95132827758789, 107.66735076904297, 28.545921325683594)",1,3.4426422119140625,1,"(52.20084762573242, 55.06861114501953, 656.028076171875)",1,1742470167748,11.806671142578125,11.249603271484375
